Ez     Er      Te      Ti     ne      ni      vz     Mach   
  -1.706667e+01   -4.906539e+04    3.726057e+04    3.760021e+02    1.563067e+15    1.561650e+15    3.929627e+01    1.007816e-02
  -1.962667e+01   -5.110978e+04    3.763560e+04    4.360135e+02    1.470183e+15    1.479383e+15    3.489724e+01    8.888275e-03
  -4.608000e+01   -2.759928e+04    3.796359e+04    4.451151e+02    1.380217e+15    1.391400e+15    3.041483e+01    7.701380e-03
  -4.864000e+01   -1.635513e+04    3.784983e+04    4.185462e+02    1.294967e+15    1.309750e+15    2.421471e+01    6.138584e-03
  -3.669333e+01   -2.351050e+04    3.838923e+04    3.718797e+02    1.212967e+15    1.219867e+15    1.438555e+01    3.618106e-03
  -1.194667e+01   -4.906539e+04    3.874165e+04    4.124421e+02    1.138950e+15    1.156483e+15    1.206224e+01    2.998437e-03
   4.266667e+00   -6.439833e+04    3.969244e+04    4.772229e+02    1.070548e+15    1.086995e+15    1.982248e+01    4.906152e-03
   4.522667e+01   -6.133174e+04    4.030054e+04    4.506835e+02    1.003605e+15    1.016157e+15    2.253147e+01    5.541226e-03
   5.461333e+01   -4.906540e+04    4.157626e+04    4.069133e+02    9.335700e+14    9.344600e+14    3.657657e+01    8.774049e-03
   9.472000e+01   -4.088783e+04    4.261262e+04    3.200216e+02    8.674033e+14    8.745633e+14   -1.168540e+01   -2.625405e-03
   5.290667e+01   -3.679905e+04    4.381825e+04    3.523233e+02    8.070633e+14    8.198617e+14   -5.286056e+01   -1.229644e-02
   4.096000e+01   -4.191002e+04    4.565366e+04    3.296961e+02    7.519333e+14    7.574167e+14   -1.142024e+02   -2.635984e-02
   3.754667e+01   -5.826515e+04    4.727022e+04    4.148007e+02    6.999517e+14    7.033233e+14   -1.159828e+02   -2.625101e-02
   9.898667e+01   -6.542053e+04    4.984564e+04    4.411178e+02    6.481300e+14    6.542750e+14   -8.483508e+01   -1.893355e-02
   1.723733e+02   -7.666468e+04    5.225318e+04    5.303688e+02    6.011583e+14    6.121783e+14   -6.653253e+01   -1.454177e-02
   1.996800e+02   -7.768687e+04    5.466168e+04    5.279091e+02    5.541800e+14    5.675250e+14   -4.677288e+01   -9.773050e-03
   1.843200e+02   -8.995322e+04    5.722733e+04    4.823424e+02    5.119300e+14    5.242567e+14   -7.959020e+01   -1.632631e-02
   1.109333e+02   -8.586444e+04    5.934679e+04    5.766807e+02    4.721017e+14    4.901650e+14   -9.040798e+01   -1.825217e-02
   1.169067e+02   -7.870907e+04    6.299768e+04    5.166562e+02    4.386250e+14    4.633167e+14   -1.194913e+02   -2.335930e-02
   2.141867e+02   -7.666468e+04    6.607774e+04    8.256338e+02    4.086017e+14    4.298217e+14   -1.199140e+02   -2.294046e-02
   3.584000e+02   -1.022196e+05    6.959479e+04    4.067978e+02    3.845483e+14    4.114283e+14   -1.774504e+02   -3.301127e-02
   4.804267e+02   -1.298189e+05    7.266333e+04    5.345713e+02    3.712417e+14    3.907650e+14   -2.282039e+02   -4.143925e-02
   5.794133e+02   -1.533294e+05    7.474040e+04    5.381459e+02    3.776933e+14    4.039267e+14   -2.812408e+02   -5.066008e-02
   6.860800e+02   -1.543516e+05    7.614774e+04    6.479475e+02    4.278100e+14    4.560100e+14   -3.804322e+02   -6.894953e-02
   7.833600e+02   -1.615069e+05    7.173338e+04    6.590286e+02    5.506050e+14    5.678150e+14   -4.318014e+02   -7.979195e-02
   7.517867e+02   -1.778620e+05    6.606883e+04    6.634112e+02    7.735150e+14    7.916883e+14   -5.611763e+02   -1.030859e-01
   8.396800e+02   -1.993281e+05    6.009978e+04    6.225477e+02    1.071983e+15    1.085045e+15   -3.387721e+02   -6.732889e-02
   4.138667e+02   -1.645735e+05    5.388335e+04    5.299483e+02    1.399000e+15    1.413683e+15   -2.456418e+02   -5.175998e-02
   2.705067e+02   -2.299940e+05    4.968626e+04    4.911375e+02    1.699283e+15    1.703467e+15   -1.693870e+02   -3.723102e-02
   1.331200e+02   -8.688663e+04    4.653301e+04    4.233350e+02    1.932117e+15    1.924233e+15   -1.396094e+02   -3.176017e-02
   7.594667e+01   -8.279784e+04    4.510434e+04    3.970007e+02    2.088500e+15    2.087850e+15   -9.684223e+01   -2.245359e-02
   2.901333e+01   -1.011974e+05    4.432556e+04    3.830333e+02    2.168350e+15    2.180933e+15   -8.165885e+01   -1.910307e-02
   1.877333e+01   -8.688663e+04    4.393921e+04    4.423610e+02    2.183733e+15    2.210700e+15   -5.297717e+01   -1.244192e-02
   2.218667e+01   -1.042639e+05    4.313513e+04    4.100952e+02    2.209150e+15    2.245000e+15   -3.111471e+01   -7.338213e-03
  -2.389333e+01   -8.790881e+04    4.265363e+04    4.305704e+02    2.089700e+15    2.116900e+15   -8.234623e+00   -1.940781e-03
  -2.901333e+01   -8.177564e+04    4.196533e+04    3.737177e+02    2.006550e+15    2.022017e+15   -6.027400e+00   -1.467702e-03
  -3.669333e+01   -7.053150e+04    4.207843e+04    4.212335e+02    1.910717e+15    1.920817e+15    4.334996e+00    9.996477e-04
  -1.194667e+01   -5.928735e+04    4.190274e+04    4.331065e+02    1.810483e+15    1.817200e+15   -2.807996e+01   -6.825991e-03
   7.680000e+00   -6.030955e+04    4.187202e+04    4.506156e+02    1.712050e+15    1.724417e+15   -1.788635e+01   -4.355410e-03
   2.560000e+00   -5.622077e+04    4.107979e+04    4.448165e+02    1.615817e+15    1.627733e+15   -2.777449e+01   -6.692425e-03
   1.280000e+01   -5.417637e+04    4.072664e+04    4.213066e+02    1.523750e+15    1.526817e+15   -2.585358e+00   -6.338718e-04
  -5.973333e+00   -6.133174e+04    4.078039e+04    3.822559e+02    1.435417e+15    1.435050e+15    3.178494e+01    7.686845e-03
  -1.450667e+01   -5.928735e+04    4.093284e+04    4.123193e+02    1.349717e+15    1.354667e+15    2.978731e+01    7.195807e-03
  -2.133333e+01   -6.950931e+04    4.173378e+04    4.285623e+02    1.270567e+15    1.273083e+15    4.070390e+01    9.839884e-03
   1.706667e+00   -4.599881e+04    4.215565e+04    5.159181e+02    1.201317e+15    1.204100e+15    1.351151e+01    3.223660e-03
   1.365333e+01   -4.191002e+04    4.272391e+04    4.961455e+02    1.133117e+15    1.132017e+15    2.260405e+01    5.391983e-03
   4.522667e+01   -4.599880e+04    4.261661e+04    4.892014e+02    1.070467e+15    1.083283e+15    1.384742e+01    3.306715e-03
   2.304000e+01   -5.928735e+04    4.238485e+04    4.219866e+02    1.008087e+15    1.014127e+15   -3.398316e+01   -8.177164e-03
   2.816000e+01   -5.826516e+04    4.272698e+04    3.722663e+02    9.505700e+14    9.560667e+14   -4.582148e+01   -1.100017e-02
   4.266667e+00   -4.599881e+04    4.473825e+04    3.391864e+02    8.964900e+14    8.992217e+14   -4.855502e+01   -1.160750e-02
   2.474667e+01   -3.577686e+04    4.677181e+04    3.407882e+02    8.450267e+14    8.583050e+14   -4.255885e+01   -9.870010e-03
   1.937067e+02   -8.893104e+04    4.961939e+04    5.009633e+02    8.048650e+14    8.067633e+14   -6.310273e+01   -1.353359e-02
   1.851733e+02   -7.973128e+04    5.172879e+04    5.204168e+02    7.493833e+14    7.513483e+14   -9.484476e+01   -2.023993e-02
   2.235733e+02   -7.564250e+04    5.395529e+04    3.955138e+02    6.951567e+14    7.033267e+14   -9.269545e+01   -1.969271e-02
   2.406400e+02   -5.417638e+04    5.503954e+04    4.408680e+02    6.483667e+14    6.469067e+14   -8.785401e+01   -1.841601e-02
   2.935467e+02   -5.519857e+04    5.616476e+04    4.804375e+02    6.037617e+14    6.034233e+14   -9.759480e+01   -2.023492e-02
   2.798933e+02   -5.826516e+04    5.805392e+04    4.747170e+02    5.645867e+14    5.639217e+14   -1.276964e+02   -2.607533e-02
   3.020800e+02   -7.053151e+04    5.998201e+04    5.623032e+02    5.263733e+14    5.325950e+14   -1.342381e+02   -2.698961e-02
   3.217067e+02   -7.359809e+04    6.169871e+04    5.851494e+02    4.924100e+14    4.970933e+14   -2.152759e+02   -4.253496e-02
   3.950933e+02   -5.110979e+04    6.401026e+04    5.915206e+02    4.597483e+14    4.641900e+14   -2.658004e+02   -5.161340e-02
   4.625067e+02   -3.271026e+04    6.603447e+04    5.593424e+02    4.298850e+14    4.272967e+14   -2.966621e+02   -5.703558e-02
   5.137067e+02   -3.679904e+04    6.858448e+04    6.481311e+02    4.055367e+14    4.064450e+14   -3.133007e+02   -5.882943e-02
   6.579200e+02   -6.439833e+04    7.055243e+04    7.805822e+02    3.909717e+14    3.946100e+14   -3.090031e+02   -5.722901e-02
   7.688533e+02   -1.144859e+05    7.315461e+04    7.685826e+02    3.903267e+14    4.007317e+14   -4.109977e+02   -7.471377e-02
   9.096533e+02   -1.482183e+05    7.524420e+04    7.356601e+02    4.172783e+14    4.345250e+14   -3.939281e+02   -7.065579e-02
   1.001813e+03   -2.156833e+05    7.479846e+04    8.003345e+02    4.951350e+14    5.197317e+14   -5.330034e+02   -8.286483e-02
   9.838933e+02   -2.156833e+05    7.727778e+04    9.590278e+02    6.568300e+14    6.942817e+14   -4.508420e+02   -8.354390e-02
   1.118720e+03   -2.943924e+05    6.561019e+04    1.004839e+03    9.101100e+14    9.438467e+14   -4.900573e+02   -9.437868e-02
   7.057067e+02   -1.604847e+05    5.990683e+04    1.117181e+03    1.235397e+15    1.265232e+15   -4.360423e+02   -9.735315e-02
   5.128533e+02   -1.512850e+05    5.423233e+04    6.802457e+02    1.591817e+15    1.611767e+15   -3.486814e+02   -7.317076e-02
   2.935467e+02   -1.226635e+05    4.952653e+04    5.121559e+02    1.942200e+15    1.959900e+15   -2.319634e+02   -5.077924e-02
   1.860267e+02   -9.915298e+04    4.573565e+04    4.618650e+02    2.232100e+15    2.252300e+15   -1.621136e+02   -3.704165e-02
   1.220267e+02   -8.688662e+04    4.293559e+04    4.260593e+02    2.448350e+15    2.471317e+15   -8.595718e+01   -2.023387e-02
   1.169067e+02   -8.177564e+04    4.122756e+04    4.558250e+02    2.567867e+15    2.592983e+15   -4.143967e+01   -9.879491e-03
   6.826667e+01   -8.995321e+04    3.990434e+04    4.521059e+02    2.626133e+15    2.649983e+15   -3.321740e+01   -8.295976e-03
   1.792000e+01   -8.177566e+04    3.896735e+04    4.363295e+02    2.622867e+15    2.646700e+15    5.200730e+00    1.378196e-03
  -5.632000e+01   -7.768687e+04    3.761535e+04    4.334547e+02    2.638350e+15    2.665750e+15    1.888968e+01    4.978537e-03
  -3.584000e+01   -7.870907e+04    3.712510e+04    4.259725e+02    2.513267e+15    2.517183e+15    7.961511e+01    2.031443e-02
  -5.034667e+01   -6.439833e+04    3.652300e+04    4.499710e+02    2.421750e+15    2.417300e+15    5.667035e+01    1.456596e-02
  -1.792000e+01   -6.133174e+04    3.684727e+04    4.258352e+02    2.321217e+15    2.319483e+15    6.909667e+01    1.767986e-02
  -4.693333e+01   -5.213198e+04    3.675236e+04    3.902965e+02    2.214733e+15    2.217517e+15    3.840850e+01    9.850261e-03
  -4.096000e+01   -5.213198e+04    3.712311e+04    3.624388e+02    2.104483e+15    2.110233e+15    3.576137e+01    9.136190e-03
  -7.594667e+01   -4.906540e+04    3.728476e+04    4.040755e+02    1.992200e+15    1.990583e+15    1.857737e+01    4.724069e-03
  -1.041067e+02   -6.133174e+04    3.726322e+04    4.595498e+02    1.879817e+15    1.889550e+15    6.123553e+01    1.565650e-02
  -8.704000e+01   -5.417637e+04    3.702385e+04    4.549288e+02    1.770633e+15    1.774533e+15    7.273622e+01    1.864144e-02
  -3.925333e+01   -6.542052e+04    3.681280e+04    3.912956e+02    1.666650e+15    1.676433e+15    7.589452e+01    1.947836e-02
